epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
98,13580.3,0.32985,0.33123,0.7115,0.00502,0.48379,0.82842,0.76145,0.81418,0.74921,0.82842,0.76145,0.813,0.78688,0.45724,0.42756,2.1263,0.01427,0,9.70575e-05,9.70575e-05,9.70575e-05
99,13723.0,0.33936,0.35754,0.7159,0.00525,0.48557,0.82237,0.77213,0.81845,0.75405,0.82237,0.77213,0.81727,0.79538,0.43781,0.42893,1.84312,0.01308,0,8.98581e-05,8.98581e-05,8.98581e-05
100,13865.6,0.3398,0.33108,0.70133,0.00522,0.47805,0.81354,0.77735,0.81585,0.75156,0.81354,0.77735,0.81464,0.7916,0.44128,0.43069,1.88823,0.01325,0,8.29431e-05,8.29431e-05,8.29431e-05
101,13989.6,0.37698,0.23347,0.55411,0.01063,0.19602,0.81692,0.77028,0.81365,0.73699,0.81692,0.77028,0.81183,0.78243,0.49975,0.40214,1.99692,0.01559,0,7.63174e-05,7.63174e-05,7.63174e-05
102,14110.0,0.34961,0.25127,0.49073,0.0095,0.17595,0.84155,0.73451,0.81635,0.73775,0.84155,0.73451,0.81488,0.78723,0.4872,0.44703,1.77419,0.01502,0,6.99855e-05,6.99855e-05,6.99855e-05
103,14233.5,0.35171,0.24701,0.48365,0.00951,0.18104,0.83732,0.74214,0.81367,0.74321,0.83732,0.74214,0.8119,0.78211,0.4807,0.43765,2.01478,0.01498,0,6.39518e-05,6.39518e-05,6.39518e-05
104,14355.9,0.33708,0.25688,0.48744,0.00908,0.1839,0.84225,0.74797,0.81752,0.74727,0.84225,0.74797,0.81616,0.788,0.45691,0.43389,1.73584,0.01394,0,5.82203e-05,5.82203e-05,5.82203e-05
105,14478.3,0.33361,0.23942,0.45542,0.0088,0.15753,0.81689,0.78309,0.82033,0.74963,0.81689,0.78309,0.81841,0.7898,0.46339,0.43268,1.81704,0.01426,0,5.2795e-05,5.2795e-05,5.2795e-05
106,14599.9,0.33765,0.23293,0.47948,0.00918,0.16989,0.8313,0.77026,0.81882,0.74459,0.8313,0.77026,0.81638,0.78923,0.47102,0.43056,1.89392,0.01463,0,4.76796e-05,4.76796e-05,4.76796e-05
107,14722.6,0.33435,0.2806,0.48487,0.00909,0.18344,0.8362,0.7712,0.81795,0.74615,0.8362,0.7712,0.81626,0.78685,0.47013,0.42541,1.82275,0.01462,0,4.28777e-05,4.28777e-05,4.28777e-05
108,14843.1,0.32948,0.22579,0.4686,0.0087,0.17458,0.83751,0.7691,0.81844,0.75007,0.83751,0.7691,0.81691,0.78908,0.46372,0.3853,1.79628,0.01417,0,3.83925e-05,3.83925e-05,3.83925e-05
109,14966.6,0.32074,0.24053,0.46354,0.00848,0.16779,0.83391,0.76868,0.81816,0.74963,0.83391,0.76868,0.81629,0.79032,0.4525,0.38315,1.91321,0.01375,0,3.4227e-05,3.4227e-05,3.4227e-05
110,15088.9,0.32104,0.22521,0.47271,0.00852,0.1749,0.81996,0.78032,0.81628,0.75064,0.81996,0.78032,0.81502,0.7907,0.44609,0.42586,1.87727,0.01356,0,3.03842e-05,3.03842e-05,3.03842e-05
111,15208.1,0.32286,0.22732,0.46148,0.00839,0.1657,0.83337,0.76203,0.81842,0.75552,0.83337,0.76203,0.81726,0.79158,0.44439,0.42738,1.97137,0.01354,0,2.68667e-05,2.68667e-05,2.68667e-05
112,15329.3,0.31149,0.22365,0.46123,0.00827,0.16508,0.8234,0.76439,0.82035,0.75425,0.8234,0.76439,0.8193,0.79233,0.45164,0.42608,1.89759,0.01405,0,2.36769e-05,2.36769e-05,2.36769e-05
113,15453.2,0.32028,0.23081,0.45981,0.0083,0.16906,0.81741,0.77921,0.81899,0.75639,0.81741,0.77921,0.81814,0.79472,0.44276,0.42788,1.83607,0.01347,0,2.08169e-05,2.08169e-05,2.08169e-05
114,15576.0,0.31251,0.23319,0.45608,0.00825,0.16977,0.81339,0.78027,0.81501,0.75073,0.81339,0.78027,0.81434,0.78898,0.44458,0.42792,1.85691,0.01359,0,1.82888e-05,1.82888e-05,1.82888e-05
115,15700.1,0.317,0.22984,0.46077,0.00842,0.17559,0.81227,0.7811,0.81463,0.75385,0.81227,0.7811,0.81355,0.79004,0.4386,0.42664,1.86084,0.01325,0,1.60943e-05,1.60943e-05,1.60943e-05
116,15819.1,0.31248,0.23443,0.44222,0.00819,0.15824,0.8266,0.77188,0.8182,0.75303,0.8266,0.77188,0.81721,0.79194,0.4394,0.42738,1.84729,0.01333,0,1.42348e-05,1.42348e-05,1.42348e-05
117,15937.1,0.31714,0.25409,0.47943,0.00826,0.1767,0.83847,0.76341,0.81783,0.7558,0.83847,0.76341,0.81692,0.79218,0.44103,0.42594,1.8827,0.01346,0,1.27117e-05,1.27117e-05,1.27117e-05
