epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
73,6069.47,0.39423,0.33218,1.02494,0.00719,1.53429,0.44676,0.66016,0.50655,0.442,0.44676,0.66016,0.49991,0.46628,0.47133,0.30864,3.95257,0.01374,0,0.000352037,0.000352037,0.000352037
74,6153.26,0.34159,0.29319,0.98618,0.00633,1.44001,0.49653,0.628,0.48413,0.4269,0.49653,0.628,0.47811,0.44489,0.4294,0.297,3.97123,0.01248,0,0.000339766,0.000339766,0.000339766
75,6238.41,0.35479,0.3009,0.97139,0.00661,1.37113,0.43854,0.63381,0.47227,0.41249,0.43822,0.62668,0.46587,0.43163,0.43026,0.30617,4.11135,0.0131,0,0.000327608,0.000327608,0.000327608
76,6322.05,0.35188,0.28493,0.97194,0.00652,1.45585,0.52218,0.60745,0.49261,0.43954,0.52218,0.60745,0.48814,0.45807,0.42224,0.30048,4.29363,0.01242,0,0.000315572,0.000315572,0.000315572
77,6404.27,0.36409,0.32099,1.0212,0.00655,1.54837,0.48657,0.64415,0.50139,0.44658,0.48657,0.64415,0.49516,0.46101,0.41901,0.28871,3.70713,0.01245,0,0.000303665,0.000303665,0.000303665
78,6487.02,0.33236,0.29969,0.98451,0.00611,1.50974,0.42562,0.64511,0.47898,0.41728,0.42562,0.64511,0.47293,0.43342,0.43851,0.29332,4.19935,0.01316,0,0.000291897,0.000291897,0.000291897
79,6567.95,0.32678,0.2623,0.9304,0.00622,1.38213,0.42959,0.6504,0.49196,0.43309,0.42959,0.6504,0.48533,0.45246,0.41451,0.31277,4.43536,0.01231,0,0.000280275,0.000280275,0.000280275
80,6650.72,0.34041,0.31649,1.01436,0.00627,1.53934,0.40458,0.6078,0.47882,0.42767,0.39692,0.60347,0.46965,0.43939,0.41013,0.30762,4.03181,0.01224,0,0.000268806,0.000268806,0.000268806
81,6732.91,0.33499,0.32016,0.97793,0.00613,1.42405,0.44583,0.60275,0.4856,0.43594,0.44583,0.60275,0.4752,0.44193,0.398,0.31478,4.32969,0.01147,0,0.0002575,0.0002575,0.0002575
82,6814.54,0.34369,0.31384,0.97058,0.00627,1.45391,0.43666,0.61643,0.50565,0.44356,0.44123,0.60357,0.49784,0.4587,0.425,0.28716,3.89583,0.01307,0,0.000246363,0.000246363,0.000246363
83,6899.92,0.33614,0.30246,0.99154,0.00611,1.47712,0.48007,0.65849,0.51443,0.45814,0.48007,0.65849,0.50786,0.47768,0.4031,0.29419,4.4601,0.01197,0,0.000235404,0.000235404,0.000235404
84,6985.9,0.30834,0.3,0.95041,0.00552,1.42352,0.49597,0.70615,0.52505,0.46734,0.49917,0.71048,0.52222,0.48118,0.38169,0.28197,3.85467,0.0113,0,0.000224629,0.000224629,0.000224629
85,7069.11,0.33852,0.33167,0.99413,0.006,1.40637,0.42102,0.65291,0.5104,0.45674,0.4183,0.66838,0.50547,0.4755,0.41481,0.29601,4.3582,0.01243,0,0.000214046,0.000214046,0.000214046
86,7152.76,0.32255,0.29278,0.9538,0.00592,1.34126,0.49413,0.5577,0.50225,0.45982,0.49413,0.5577,0.4972,0.46712,0.3513,0.29183,3.98523,0.00991,0,0.000203663,0.000203663,0.000203663
87,7235.47,0.30982,0.3021,0.9376,0.00577,1.40504,0.48546,0.61794,0.50521,0.45481,0.48174,0.61361,0.49419,0.46941,0.37066,0.30069,4.15882,0.01042,0,0.000193486,0.000193486,0.000193486
88,7318.66,0.32997,0.35043,0.95837,0.00581,1.31212,0.49582,0.62793,0.51421,0.4636,0.49582,0.62793,0.50949,0.47852,0.37522,0.28813,4.07143,0.01037,0,0.000183523,0.000183523,0.000183523
89,7402.44,0.32086,0.31768,0.92768,0.0056,1.29515,0.46251,0.5922,0.50681,0.46488,0.46251,0.5922,0.50034,0.47558,0.35526,0.28686,3.80855,0.00971,0,0.00017378,0.00017378,0.00017378
90,7485.81,0.31794,0.29075,0.9207,0.00563,1.37048,0.41934,0.65166,0.49765,0.45365,0.41657,0.64733,0.49128,0.46549,0.35999,0.28441,4.12206,0.0099,0,0.000164264,0.000164264,0.000164264
91,7569.44,0.29558,0.29903,0.90858,0.00529,1.3379,0.45538,0.67016,0.51473,0.47201,0.45538,0.67016,0.50706,0.48214,0.36211,0.29174,3.77318,0.01012,0,0.000154982,0.000154982,0.000154982
92,7653.4,0.31095,0.28707,0.92379,0.00537,1.3107,0.47324,0.63587,0.52605,0.47792,0.47324,0.63587,0.51977,0.48703,0.36506,0.28833,4.14993,0.01027,0,0.00014594,0.00014594,0.00014594
93,7738.02,0.30813,0.3087,0.926,0.00524,1.33198,0.46409,0.69314,0.53199,0.4809,0.46024,0.68881,0.52319,0.49056,0.36133,0.28697,3.78993,0.00999,0,0.000137143,0.000137143,0.000137143
94,7822.75,0.29563,0.28705,0.89624,0.00517,1.31858,0.45586,0.67282,0.5227,0.46401,0.45586,0.67282,0.51838,0.48453,0.39108,0.28291,4.12555,0.01135,0,0.000128599,0.000128599,0.000128599
95,7906.7,0.30481,0.33365,0.90144,0.00502,1.22841,0.42737,0.65026,0.50387,0.45957,0.43044,0.64803,0.49707,0.46713,0.33816,0.28754,4.18674,0.00914,0,0.000120313,0.000120313,0.000120313
96,7988.27,0.36762,0.19991,0.77308,0.01142,0.78598,0.46823,0.65868,0.52661,0.46819,0.45908,0.66057,0.51522,0.48419,0.3949,0.30266,3.72569,0.01166,0,0.00011229,0.00011229,0.00011229
97,8067.07,0.34097,0.18635,0.75352,0.01032,0.77047,0.52392,0.5969,0.53959,0.48931,0.52392,0.5969,0.53363,0.50413,0.35587,0.30011,3.61326,0.00987,0,0.000104537,0.000104537,0.000104537
98,8144.33,0.34691,0.18431,0.73013,0.01032,0.74598,0.5173,0.61233,0.53287,0.48282,0.5173,0.61233,0.52575,0.49492,0.37867,0.29554,3.87123,0.01056,0,9.70575e-05,9.70575e-05,9.70575e-05
99,8220.79,0.32692,0.17668,0.73735,0.01008,0.80168,0.51068,0.59652,0.53579,0.48523,0.51068,0.59652,0.53095,0.49627,0.36737,0.29368,3.73973,0.0105,0,8.98581e-05,8.98581e-05,8.98581e-05
100,8296.97,0.32285,0.18768,0.68163,0.00969,0.71373,0.53521,0.58548,0.53948,0.49667,0.53521,0.58548,0.53517,0.50497,0.32086,0.29996,3.6729,0.00885,0,8.29431e-05,8.29431e-05,8.29431e-05
101,8374.38,0.32436,0.17375,0.68855,0.00982,0.70444,0.53483,0.598,0.54115,0.49612,0.53483,0.598,0.53738,0.50828,0.32699,0.30051,3.64988,0.00904,0,7.63174e-05,7.63174e-05,7.63174e-05
102,8452.21,0.31659,0.17921,0.68742,0.00949,0.74411,0.51525,0.62759,0.53995,0.49492,0.51525,0.62759,0.53617,0.50466,0.33317,0.29112,3.69041,0.00919,0,6.99855e-05,6.99855e-05,6.99855e-05
103,8529.56,0.3074,0.17699,0.67743,0.0094,0.7242,0.51986,0.60562,0.53498,0.49621,0.51986,0.60562,0.53063,0.50051,0.31809,0.29061,3.60191,0.0087,0,6.39518e-05,6.39518e-05,6.39518e-05
104,8606.32,0.30648,0.17795,0.6838,0.00908,0.70843,0.51192,0.61732,0.53366,0.48862,0.51192,0.61732,0.53061,0.50038,0.32959,0.29109,3.76924,0.00905,0,5.82203e-05,5.82203e-05,5.82203e-05
105,8683.35,0.3128,0.17989,0.67454,0.00929,0.70072,0.51303,0.63693,0.5423,0.49948,0.51303,0.63693,0.53935,0.5067,0.33615,0.29072,3.98129,0.0094,0,5.2795e-05,5.2795e-05,5.2795e-05
106,8759.27,0.30139,0.17657,0.67767,0.00894,0.7271,0.53309,0.62683,0.54165,0.50089,0.53309,0.62683,0.53841,0.50753,0.33254,0.28943,3.91066,0.00904,0,4.76796e-05,4.76796e-05,4.76796e-05
107,8835.53,0.29161,0.16607,0.70068,0.00867,0.77306,0.52443,0.64778,0.54642,0.50481,0.52443,0.64778,0.54349,0.51112,0.32781,0.29284,3.84554,0.00909,0,4.28777e-05,4.28777e-05,4.28777e-05
108,8910.65,0.29382,0.17835,0.66939,0.00862,0.70379,0.52671,0.65479,0.54688,0.50841,0.52671,0.65479,0.54364,0.51115,0.33607,0.2929,3.73294,0.00916,0,3.83925e-05,3.83925e-05,3.83925e-05
