epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,2498.28,0.52795,0.47081,0.66837,0.00814,0.61672,0.90169,0.87151,0.87547,0.76162,0.89725,0.86735,0.86947,0.85437,0.60521,0.47583,0.64554,0.0177,0,0.000505,0.000505,0.000505
62,2539.44,0.5101,0.41006,0.63939,0.00793,0.59385,0.89381,0.85247,0.88449,0.77044,0.88954,0.8485,0.87824,0.86234,0.63306,0.45704,0.63074,0.01849,0,0.000492042,0.000492042,0.000492042
63,2581.32,0.5077,0.49411,0.66758,0.00818,0.63879,0.8927,0.84037,0.8636,0.75617,0.88854,0.8362,0.85808,0.8375,0.58287,0.46429,0.68426,0.01682,0,0.000479094,0.000479094,0.000479094
64,2622.53,0.49478,0.44593,0.65511,0.0077,0.61815,0.91647,0.86794,0.87731,0.74867,0.91211,0.86377,0.87279,0.83929,0.60247,0.66373,0.62508,0.01758,0,0.000466163,0.000466163,0.000466163
65,2663.85,0.50652,0.45928,0.63758,0.00754,0.60188,0.92152,0.84783,0.89243,0.78509,0.91739,0.84366,0.88477,0.87552,0.59781,0.52365,0.62298,0.01723,0,0.000453258,0.000453258,0.000453258
66,2704.93,0.48693,0.44516,0.6493,0.00754,0.61525,0.9208,0.84521,0.89007,0.79279,0.9208,0.84521,0.8896,0.87277,0.5681,0.50306,0.67824,0.01623,0,0.00044039,0.00044039,0.00044039
67,2746.33,0.47692,0.41236,0.64907,0.00711,0.63221,0.93365,0.8998,0.9212,0.82635,0.93365,0.8998,0.92092,0.90154,0.55029,0.48837,0.54958,0.01599,0,0.000427565,0.000427565,0.000427565
68,2788.1,0.51091,0.41273,0.65146,0.00772,0.61052,0.94598,0.92457,0.92708,0.81644,0.94186,0.92041,0.92056,0.90355,0.58911,0.48084,0.55408,0.01691,0,0.000414793,0.000414793,0.000414793
69,2829.66,0.49599,0.45088,0.63024,0.00777,0.58864,0.9341,0.91361,0.91853,0.8091,0.93008,0.90944,0.91212,0.89298,0.59058,0.48372,0.55278,0.01733,0,0.000402084,0.000402084,0.000402084
70,2871.21,0.48304,0.45086,0.61626,0.00744,0.58621,0.93628,0.89129,0.91715,0.82464,0.93628,0.89129,0.91723,0.89788,0.50801,0.64454,0.53844,0.01477,0,0.000389445,0.000389445,0.000389445
71,2912.75,0.47163,0.47239,0.61818,0.00726,0.56535,0.94392,0.90276,0.9329,0.84878,0.94392,0.90276,0.9329,0.91909,0.49549,0.6626,0.53769,0.01444,0,0.000376885,0.000376885,0.000376885
72,2954.18,0.47384,0.40076,0.62927,0.00702,0.58655,0.93625,0.91891,0.92628,0.82485,0.93625,0.91891,0.92628,0.90621,0.52921,0.47384,0.60945,0.01534,0,0.000364412,0.000364412,0.000364412
73,2994.8,0.47843,0.42311,0.60264,0.00733,0.53887,0.92212,0.86816,0.91537,0.81427,0.92212,0.86816,0.91542,0.89853,0.53874,0.45251,0.64607,0.01567,0,0.000352037,0.000352037,0.000352037
74,3036.48,0.46488,0.42506,0.58802,0.00723,0.53915,0.93566,0.9111,0.92294,0.83583,0.93136,0.90703,0.91792,0.9032,0.49645,0.45312,0.58752,0.01437,0,0.000339766,0.000339766,0.000339766
75,3077.79,0.46551,0.41173,0.58035,0.00712,0.54749,0.95982,0.8873,0.91941,0.84263,0.95982,0.8873,0.92091,0.90563,0.53675,0.60007,0.50223,0.01519,0,0.000327608,0.000327608,0.000327608
76,3119.11,0.45143,0.39607,0.60675,0.00693,0.56915,0.92897,0.87624,0.91465,0.8346,0.92897,0.87624,0.91514,0.90092,0.55176,0.44481,0.5487,0.01567,0,0.000315572,0.000315572,0.000315572
77,3160.61,0.45835,0.43521,0.59634,0.00712,0.52421,0.9481,0.93216,0.92551,0.8375,0.94394,0.928,0.92141,0.90942,0.50833,0.61889,0.54556,0.01472,0,0.000303665,0.000303665,0.000303665
78,3202.3,0.45342,0.38731,0.59548,0.00704,0.5533,0.92136,0.85792,0.89461,0.8066,0.917,0.85376,0.88993,0.87855,0.53947,0.61486,0.57001,0.01546,0,0.000291897,0.000291897,0.000291897
79,3243.59,0.44784,0.39891,0.5962,0.00664,0.58707,0.93287,0.874,0.91064,0.82983,0.93287,0.874,0.91053,0.89575,0.49269,0.62394,0.49201,0.01411,0,0.000280275,0.000280275,0.000280275
80,3285.81,0.45786,0.46406,0.60638,0.00661,0.57886,0.93308,0.87045,0.88678,0.81761,0.93308,0.87045,0.88674,0.87196,0.48187,0.60079,0.52887,0.01369,0,0.000268806,0.000268806,0.000268806
81,3327.52,0.43718,0.42322,0.55156,0.00662,0.52549,0.9379,0.86937,0.89206,0.83241,0.9379,0.86937,0.89128,0.87563,0.47588,0.47435,0.5615,0.01333,0,0.0002575,0.0002575,0.0002575
82,3370.02,0.4257,0.40247,0.54981,0.00634,0.50742,0.93797,0.92005,0.9197,0.83648,0.93797,0.92005,0.92017,0.90349,0.48277,0.62441,0.5648,0.0138,0,0.000246363,0.000246363,0.000246363
83,3412.2,0.4297,0.4091,0.55187,0.00647,0.51287,0.94546,0.90459,0.92968,0.84846,0.94546,0.90459,0.93064,0.91284,0.52649,0.44697,0.58161,0.01495,0,0.000235404,0.000235404,0.000235404
84,3453.35,0.43054,0.43619,0.51313,0.00658,0.49379,0.94221,0.90283,0.92646,0.85265,0.94221,0.90283,0.92606,0.90683,0.48966,0.44017,0.55313,0.01373,0,0.000224629,0.000224629,0.000224629
85,3494.62,0.43248,0.38514,0.58008,0.00625,0.49494,0.93972,0.91057,0.92591,0.86119,0.93972,0.91057,0.9257,0.91153,0.47289,0.45006,0.54809,0.01325,0,0.000214046,0.000214046,0.000214046
86,3536.89,0.43093,0.40273,0.54209,0.00651,0.50459,0.95188,0.90903,0.92671,0.85664,0.95188,0.90903,0.9272,0.91333,0.51053,0.61057,0.5152,0.01437,0,0.000203663,0.000203663,0.000203663
87,3578.6,0.42934,0.38626,0.52883,0.00661,0.52331,0.93625,0.91211,0.93176,0.84099,0.9322,0.90794,0.92711,0.91813,0.5343,0.62356,0.53174,0.01537,0,0.000193486,0.000193486,0.000193486
88,3619.68,0.42926,0.40382,0.56659,0.00648,0.48655,0.94161,0.88168,0.9282,0.85625,0.94161,0.88168,0.92862,0.9151,0.47124,0.59988,0.5043,0.01369,0,0.000183523,0.000183523,0.000183523
89,3661.62,0.39448,0.35753,0.50075,0.00598,0.42678,0.95456,0.91049,0.92341,0.86256,0.95456,0.91049,0.92334,0.91068,0.4625,0.62325,0.48902,0.01318,0,0.00017378,0.00017378,0.00017378
90,3703.13,0.41717,0.38445,0.53303,0.00616,0.46834,0.93957,0.91758,0.92864,0.86058,0.93957,0.91758,0.92857,0.91455,0.48659,0.62401,0.5343,0.01383,0,0.000164264,0.000164264,0.000164264
91,3744.87,0.40802,0.36694,0.52697,0.00592,0.50701,0.93216,0.85437,0.90079,0.82942,0.9279,0.85021,0.89558,0.88548,0.47865,0.62509,0.54781,0.01353,0,0.000154982,0.000154982,0.000154982
92,3786.09,0.40242,0.33883,0.52325,0.00612,0.48611,0.93558,0.85714,0.90112,0.82511,0.93558,0.85714,0.90145,0.88579,0.48308,0.64072,0.51218,0.01371,0,0.00014594,0.00014594,0.00014594
93,3827.71,0.40954,0.4023,0.51872,0.00611,0.47173,0.94037,0.85971,0.90879,0.84154,0.94037,0.85971,0.90979,0.89426,0.46272,0.65072,0.53083,0.01312,0,0.000137143,0.000137143,0.000137143
94,3869.72,0.40004,0.39181,0.54472,0.00573,0.52334,0.93939,0.88047,0.92237,0.86027,0.93939,0.88047,0.92374,0.90662,0.4529,0.63177,0.50401,0.01273,0,0.000128599,0.000128599,0.000128599
95,3911.5,0.40016,0.39581,0.53369,0.00595,0.49821,0.90588,0.92779,0.92978,0.85968,0.90588,0.92779,0.93146,0.91055,0.46206,0.65112,0.50694,0.01331,0,0.000120313,0.000120313,0.000120313
96,3953.18,0.403,0.37943,0.52893,0.00585,0.48455,0.93456,0.91308,0.92792,0.8606,0.93456,0.91308,0.92891,0.91088,0.45174,0.65042,0.48525,0.01284,0,0.00011229,0.00011229,0.00011229
97,3994.63,0.40329,0.3833,0.512,0.00603,0.46277,0.95136,0.93243,0.93076,0.86253,0.95136,0.93243,0.93159,0.91343,0.45296,0.50924,0.48574,0.01267,0,0.000104537,0.000104537,0.000104537
98,4035.92,0.39968,0.35784,0.5131,0.00558,0.49757,0.93183,0.92952,0.93421,0.85827,0.93183,0.92952,0.93416,0.91671,0.45881,0.64524,0.45917,0.01304,0,9.70575e-05,9.70575e-05,9.70575e-05
99,4077.26,0.40094,0.40918,0.51877,0.00581,0.49612,0.9419,0.91668,0.92933,0.86084,0.9419,0.91668,0.92943,0.91442,0.47293,0.60095,0.48789,0.01321,0,8.98581e-05,8.98581e-05,8.98581e-05
100,4118.29,0.38094,0.35767,0.52084,0.00564,0.47859,0.94811,0.91373,0.92762,0.86343,0.94811,0.91373,0.92812,0.91012,0.46796,0.6053,0.48139,0.01325,0,8.29431e-05,8.29431e-05,8.29431e-05
101,4159.75,0.38837,0.33159,0.49693,0.00573,0.45362,0.94694,0.90804,0.92988,0.86547,0.94694,0.90804,0.93099,0.91508,0.44635,0.61912,0.47893,0.01247,0,7.63174e-05,7.63174e-05,7.63174e-05
102,4201.52,0.37474,0.34754,0.43748,0.00567,0.41075,0.93469,0.91882,0.9267,0.86383,0.93469,0.91882,0.92822,0.91173,0.45254,0.61606,0.48087,0.01265,0,6.99855e-05,6.99855e-05,6.99855e-05
103,4243.18,0.39215,0.34755,0.47659,0.00601,0.43953,0.94694,0.91474,0.92847,0.86557,0.94694,0.91474,0.93015,0.91425,0.4617,0.62172,0.48536,0.01285,0,6.39518e-05,6.39518e-05,6.39518e-05
104,4284.8,0.39159,0.38393,0.52845,0.00582,0.50014,0.94402,0.91474,0.93063,0.86704,0.94402,0.91474,0.93242,0.915,0.45312,0.61756,0.46901,0.01246,0,5.82203e-05,5.82203e-05,5.82203e-05
105,4326.54,0.40413,0.37932,0.54803,0.0059,0.48529,0.95045,0.91282,0.9271,0.86534,0.95045,0.91282,0.92896,0.91236,0.45236,0.62489,0.4776,0.01257,0,5.2795e-05,5.2795e-05,5.2795e-05
106,4361.08,0.50423,0.36811,0.52253,0.01374,0.29086,0.94842,0.89494,0.92635,0.83763,0.94842,0.89494,0.92694,0.9084,0.50616,0.71191,0.51287,0.01449,0,4.76796e-05,4.76796e-05,4.76796e-05
107,4393.86,0.4569,0.36733,0.46788,0.01197,0.2489,0.95517,0.88053,0.91537,0.83691,0.95517,0.88053,0.91537,0.89636,0.48514,0.68499,0.53556,0.01376,0,4.28777e-05,4.28777e-05,4.28777e-05
108,4426.65,0.45234,0.31859,0.44886,0.01181,0.25452,0.9476,0.88908,0.91892,0.84131,0.9476,0.88908,0.9192,0.90072,0.46526,0.67781,0.52406,0.01318,0,3.83925e-05,3.83925e-05,3.83925e-05
109,4459.43,0.43126,0.36971,0.40409,0.01104,0.20887,0.94575,0.89253,0.9193,0.84068,0.94575,0.89253,0.9197,0.90269,0.46746,0.67189,0.53714,0.01312,0,3.4227e-05,3.4227e-05,3.4227e-05
